2,13,2,7,1
1,11,2,12,1
11,0,6,4,0
9,1,9,6,0
1,10,1,8,1
8,2,15,1,0
13,5,11,2,0
14,4,10,0,0
5,11,3,13,1
10,1,10,3,0
16,1,3,1,0
3,9,1,11,1
10,5,9,1,0
15,2,8,0,0
1,14,1,11,1
8,1,10,1,0
1,16,2,10,1
9,1,8,2,0
1,9,4,14,1
0,10,3,14,1
13,3,15,2,0
9,2,12,4,0
0,17,3,10,1
14,3,10,2,0
13,1,15,3,0
2,14,2,9,1
1,14,0,8,1
4,12,1,10,1
3,8,3,10,1
4,14,3,6,1
9,2,11,2,0
4,10,2,5,1
11,1,11,4,0
1,10,2,10,1
11,3,4,2,0
3,7,1,12,1
1,8,2,7,1
15,1,10,4,0
11,1,6,0,0
1,7,0,12,1
1,11,2,12,1
8,1,8,2,0
11,2,10,4,0
0,6,2,13,1
13,1,8,2,0
1,7,1,13,1
0,8,3,9,1
16,2,15,1,0
3,7,2,10,1
17,0,7,0,0
11,2,10,2,0
10,4,7,4,0
8,1,8,3,0
1,9,1,10,1
2,17,0,7,1
3,9,0,9,1
10,1,4,3,0
2,12,1,7,1
1,8,3,12,1
9,5,14,4,0
4,19,1,11,1
14,1,13,0,0
10,2,6,1,0
2,9,1,18,1
1,11,4,5,1
1,15,1,7,1
3,1,12,1,0
1,4,2,8,1
2,9,4,11,1
10,1,11,1,0
12,1,10,2,0
3,7,1,7,1
7,1,5,2,0
9,3,6,1,0
1,6,1,14,1
1,9,1,6,1
0,18,0,11,1
8,0,11,2,0
3,8,3,3,1
1,5,2,7,1
2,8,1,9,1
4,9,3,6,1
8,2,12,3,0
12,3,7,4,0
9,3,8,3,0
9,2,10,1,0
7,4,16,3,0
0,13,5,11,1
0,19,2,5,1
14,2,20,1,0
14,3,10,2,0
2,10,1,7,1
1,16,1,10,1
1,8,2,15,1
2,12,2,7,1
10,1,8,3,0
10,1,10,1,0
10,3,5,4,0
2,7,2,8,1
6,12,3,9,1
